Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2012-01-24,99.8650,Normal value (A)
2012-01-23,99.8329,Normal value (A)
2012-01-22,-,Missing value; data cannot exist (M)
2012-01-21,-,Missing value; data cannot exist (M)
2012-01-20,99.5579,Normal value (A)
2012-01-19,99.4892,Normal value (A)
2012-01-18,99.3179,Normal value (A)
2012-01-17,99.1909,Normal value (A)
2012-01-16,98.7273,Normal value (A)
2012-01-15,-,Missing value; data cannot exist (M)
2012-01-14,-,Missing value; data cannot exist (M)
2012-01-13,99.2448,Normal value (A)
2012-01-12,99.1248,Normal value (A)
2012-01-11,99.0764,Normal value (A)
2012-01-10,99.4479,Normal value (A)
2012-01-09,99.1881,Normal value (A)
2012-01-08,-,Missing value; data cannot exist (M)
2012-01-07,-,Missing value; data cannot exist (M)
2012-01-06,99.5062,Normal value (A)
2012-01-05,99.7237,Normal value (A)
2012-01-04,100.1864,Normal value (A)
2012-01-03,100.4436,Normal value (A)
2012-01-02,100.1697,Normal value (A)
2012-01-01,-,Missing value; data cannot exist (M)
2011-12-31,-,Missing value; data cannot exist (M)
2011-12-30,100.2740,Normal value (A)
2011-12-29,100.1598,Normal value (A)
2011-12-28,100.7269,Normal value (A)
2011-12-27,100.7392,Normal value (A)
2011-12-26,-,Missing value; data cannot exist (M)
2011-12-25,-,Missing value; data cannot exist (M)
2011-12-24,-,Missing value; data cannot exist (M)
2011-12-23,100.7896,Normal value (A)
2011-12-22,100.7548,Normal value (A)
2011-12-21,100.7226,Normal value (A)
2011-12-20,100.9141,Normal value (A)
2011-12-19,100.8745,Normal value (A)
2011-12-18,-,Missing value; data cannot exist (M)
2011-12-17,-,Missing value; data cannot exist (M)
2011-12-16,101.0180,Normal value (A)
2011-12-15,100.9693,Normal value (A)
2011-12-14,101.0521,Normal value (A)
2011-12-13,101.8631,Normal value (A)
2011-12-12,102.1171,Normal value (A)
2011-12-11,-,Missing value; data cannot exist (M)
2011-12-10,-,Missing value; data cannot exist (M)
2011-12-09,102.5610,Normal value (A)
2011-12-08,102.4950,Normal value (A)
2011-12-07,102.4828,Normal value (A)
2011-12-06,102.4879,Normal value (A)
2011-12-05,102.7431,Normal value (A)
2011-12-04,-,Missing value; data cannot exist (M)
2011-12-03,-,Missing value; data cannot exist (M)
2011-12-02,103.0541,Normal value (A)
2011-12-01,103.0418,Normal value (A)
2011-11-30,102.8227,Normal value (A)
2011-11-29,102.6400,Normal value (A)
2011-11-28,102.9528,Normal value (A)
2011-11-27,-,Missing value; data cannot exist (M)
2011-11-26,-,Missing value; data cannot exist (M)
2011-11-25,102.5513,Normal value (A)
2011-11-24,102.9739,Normal value (A)
2011-11-23,102.9914,Normal value (A)
2011-11-22,103.5392,Normal value (A)
2011-11-21,103.1541,Normal value (A)
2011-11-20,-,Missing value; data cannot exist (M)
2011-11-19,-,Missing value; data cannot exist (M)
2011-11-18,103.3933,Normal value (A)
2011-11-17,103.0818,Normal value (A)
2011-11-16,103.0474,Normal value (A)
2011-11-15,103.2055,Normal value (A)
2011-11-14,103.6967,Normal value (A)
2011-11-13,-,Missing value; data cannot exist (M)
2011-11-12,-,Missing value; data cannot exist (M)
2011-11-11,103.6409,Normal value (A)
2011-11-10,103.3539,Normal value (A)
2011-11-09,103.3793,Normal value (A)
2011-11-08,103.9417,Normal value (A)
2011-11-07,103.7445,Normal value (A)
2011-11-06,-,Missing value; data cannot exist (M)
2011-11-05,-,Missing value; data cannot exist (M)
2011-11-04,103.7966,Normal value (A)
2011-11-03,103.6650,Normal value (A)
2011-11-02,104.0134,Normal value (A)
2011-11-01,103.3689,Normal value (A)
2011-10-31,104.6809,Normal value (A)
2011-10-30,-,Missing value; data cannot exist (M)
2011-10-29,-,Missing value; data cannot exist (M)
2011-10-28,105.1342,Normal value (A)
2011-10-27,104.7219,Normal value (A)
2011-10-26,104.4035,Normal value (A)
2011-10-25,104.3647,Normal value (A)
2011-10-24,104.2259,Normal value (A)
2011-10-23,-,Missing value; data cannot exist (M)
2011-10-22,-,Missing value; data cannot exist (M)
2011-10-21,104.1787,Normal value (A)
2011-10-20,104.2781,Normal value (A)
2011-10-19,104.3226,Normal value (A)
2011-10-18,103.8015,Normal value (A)
2011-10-17,104.0426,Normal value (A)
2011-10-16,-,Missing value; data cannot exist (M)
2011-10-15,-,Missing value; data cannot exist (M)
2011-10-14,104.2723,Normal value (A)
2011-10-13,103.9567,Normal value (A)
2011-10-12,104.0385,Normal value (A)
2011-10-11,103.5121,Normal value (A)
2011-10-10,103.2849,Normal value (A)
2011-10-09,-,Missing value; data cannot exist (M)
2011-10-08,-,Missing value; data cannot exist (M)
2011-10-07,102.8357,Normal value (A)
2011-10-06,102.3432,Normal value (A)
2011-10-05,102.5309,Normal value (A)
2011-10-04,101.8269,Normal value (A)
2011-10-03,102.3068,Normal value (A)
2011-10-02,-,Missing value; data cannot exist (M)
2011-10-01,-,Missing value; data cannot exist (M)
2011-09-30,103.2260,Normal value (A)
2011-09-29,103.6977,Normal value (A)
2011-09-28,103.6271,Normal value (A)
2011-09-27,103.2598,Normal value (A)
2011-09-26,103.1452,Normal value (A)
2011-09-25,-,Missing value; data cannot exist (M)
2011-09-24,-,Missing value; data cannot exist (M)
2011-09-23,103.1195,Normal value (A)
2011-09-22,103.3122,Normal value (A)
2011-09-21,103.5582,Normal value (A)
2011-09-20,103.4756,Normal value (A)
2011-09-19,103.1514,Normal value (A)
2011-09-18,-,Missing value; data cannot exist (M)
2011-09-17,-,Missing value; data cannot exist (M)
2011-09-16,103.4371,Normal value (A)
2011-09-15,103.6745,Normal value (A)
2011-09-14,103.3567,Normal value (A)
2011-09-13,102.8370,Normal value (A)
2011-09-12,102.6538,Normal value (A)
2011-09-11,-,Missing value; data cannot exist (M)
2011-09-10,-,Missing value; data cannot exist (M)
2011-09-09,103.2803,Normal value (A)
2011-09-08,104.1196,Normal value (A)
2011-09-07,104.0628,Normal value (A)
2011-09-06,104.4035,Normal value (A)
2011-09-05,103.6804,Normal value (A)
2011-09-04,-,Missing value; data cannot exist (M)
2011-09-03,-,Missing value; data cannot exist (M)
2011-09-02,104.1083,Normal value (A)
2011-09-01,104.3782,Normal value (A)
2011-08-31,105.2636,Normal value (A)
2011-08-30,105.2785,Normal value (A)
2011-08-29,105.5758,Normal value (A)
2011-08-28,-,Missing value; data cannot exist (M)
2011-08-27,-,Missing value; data cannot exist (M)
2011-08-26,105.1090,Normal value (A)
2011-08-25,105.1545,Normal value (A)
2011-08-24,105.0754,Normal value (A)
2011-08-23,105.1274,Normal value (A)
2011-08-22,104.9821,Normal value (A)
2011-08-21,-,Missing value; data cannot exist (M)
2011-08-20,-,Missing value; data cannot exist (M)
2011-08-19,104.8209,Normal value (A)
2011-08-18,104.7121,Normal value (A)
2011-08-17,105.0974,Normal value (A)
2011-08-16,104.6825,Normal value (A)
2011-08-15,104.6196,Normal value (A)
2011-08-14,-,Missing value; data cannot exist (M)
2011-08-13,-,Missing value; data cannot exist (M)
2011-08-12,104.0933,Normal value (A)
2011-08-11,103.4406,Normal value (A)
2011-08-10,104.1849,Normal value (A)
2011-08-09,103.9192,Normal value (A)
2011-08-08,103.8189,Normal value (A)
2011-08-07,-,Missing value; data cannot exist (M)
2011-08-06,-,Missing value; data cannot exist (M)
2011-08-05,103.5608,Normal value (A)
2011-08-04,103.9495,Normal value (A)
2011-08-03,103.9101,Normal value (A)
2011-08-02,103.3619,Normal value (A)
2011-08-01,104.3759,Normal value (A)
2011-07-31,-,Missing value; data cannot exist (M)
2011-07-30,-,Missing value; data cannot exist (M)
2011-07-29,104.0329,Normal value (A)
2011-07-28,104.0348,Normal value (A)
2011-07-27,105.0074,Normal value (A)
2011-07-26,105.1560,Normal value (A)
2011-07-25,104.8640,Normal value (A)
2011-07-24,-,Missing value; data cannot exist (M)
2011-07-23,-,Missing value; data cannot exist (M)
2011-07-22,105.0229,Normal value (A)
2011-07-21,104.3740,Normal value (A)
2011-07-20,104.4054,Normal value (A)
2011-07-19,104.3432,Normal value (A)
2011-07-18,103.7921,Normal value (A)
2011-07-17,-,Missing value; data cannot exist (M)
2011-07-16,-,Missing value; data cannot exist (M)
2011-07-15,104.2558,Normal value (A)
2011-07-14,104.4737,Normal value (A)
2011-07-13,104.1958,Normal value (A)
2011-07-12,103.7781,Normal value (A)
2011-07-11,103.9668,Normal value (A)
2011-07-10,-,Missing value; data cannot exist (M)
2011-07-09,-,Missing value; data cannot exist (M)
2011-07-08,105.0696,Normal value (A)
2011-07-07,105.1088,Normal value (A)
2011-07-06,105.4659,Normal value (A)
2011-07-05,106.1699,Normal value (A)
2011-07-04,106.4019,Normal value (A)
2011-07-03,-,Missing value; data cannot exist (M)
2011-07-02,-,Missing value; data cannot exist (M)
2011-07-01,106.4804,Normal value (A)
2011-06-30,106.2237,Normal value (A)
2011-06-29,106.1792,Normal value (A)
2011-06-28,105.5017,Normal value (A)
2011-06-27,105.1671,Normal value (A)
2011-06-26,-,Missing value; data cannot exist (M)
2011-06-25,-,Missing value; data cannot exist (M)
2011-06-24,105.1013,Normal value (A)
2011-06-23,105.1347,Normal value (A)
2011-06-22,105.8965,Normal value (A)
2011-06-21,105.7057,Normal value (A)
2011-06-20,105.1307,Normal value (A)
2011-06-19,-,Missing value; data cannot exist (M)
2011-06-18,-,Missing value; data cannot exist (M)
2011-06-17,105.2869,Normal value (A)
2011-06-16,104.5035,Normal value (A)
2011-06-15,105.2708,Normal value (A)
2011-06-14,105.7353,Normal value (A)
2011-06-13,105.4014,Normal value (A)
2011-06-12,-,Missing value; data cannot exist (M)
2011-06-11,-,Missing value; data cannot exist (M)
2011-06-10,106.0603,Normal value (A)
2011-06-09,106.6262,Normal value (A)
2011-06-08,106.6928,Normal value (A)
2011-06-07,106.8116,Normal value (A)
2011-06-06,106.5640,Normal value (A)
2011-06-05,-,Missing value; data cannot exist (M)
2011-06-04,-,Missing value; data cannot exist (M)
2011-06-03,106.1324,Normal value (A)
2011-06-02,105.9393,Normal value (A)
2011-06-01,105.5674,Normal value (A)
2011-05-31,105.5294,Normal value (A)
2011-05-30,104.9084,Normal value (A)
2011-05-29,-,Missing value; data cannot exist (M)
2011-05-28,-,Missing value; data cannot exist (M)
2011-05-27,105.0320,Normal value (A)
2011-05-26,104.8734,Normal value (A)
2011-05-25,104.5555,Normal value (A)
2011-05-24,104.7186,Normal value (A)
2011-05-23,104.4074,Normal value (A)
2011-05-22,-,Missing value; data cannot exist (M)
2011-05-21,-,Missing value; data cannot exist (M)
2011-05-20,105.2455,Normal value (A)
2011-05-19,105.6028,Normal value (A)
2011-05-18,105.4219,Normal value (A)
2011-05-17,105.1249,Normal value (A)
2011-05-16,104.9202,Normal value (A)
2011-05-15,-,Missing value; data cannot exist (M)
2011-05-14,-,Missing value; data cannot exist (M)
2011-05-13,105.4934,Normal value (A)
2011-05-12,104.7896,Normal value (A)
2011-05-11,105.4414,Normal value (A)
2011-05-10,105.5847,Normal value (A)
2011-05-09,105.8413,Normal value (A)
2011-05-08,-,Missing value; data cannot exist (M)
2011-05-07,-,Missing value; data cannot exist (M)
2011-05-06,106.4022,Normal value (A)
2011-05-05,107.8981,Normal value (A)
2011-05-04,108.1914,Normal value (A)
2011-05-03,107.6724,Normal value (A)
2011-05-02,107.7040,Normal value (A)
2011-05-01,-,Missing value; data cannot exist (M)
2011-04-30,-,Missing value; data cannot exist (M)
2011-04-29,107.8634,Normal value (A)
2011-04-28,107.7270,Normal value (A)
2011-04-27,107.2519,Normal value (A)
2011-04-26,107.0453,Normal value (A)
2011-04-25,-,Missing value; data cannot exist (M)
2011-04-24,-,Missing value; data cannot exist (M)
2011-04-23,-,Missing value; data cannot exist (M)
2011-04-22,-,Missing value; data cannot exist (M)
2011-04-21,106.7571,Normal value (A)
2011-04-20,106.8696,Normal value (A)
2011-04-19,105.9360,Normal value (A)
2011-04-18,105.8576,Normal value (A)
2011-04-17,-,Missing value; data cannot exist (M)
2011-04-16,-,Missing value; data cannot exist (M)
2011-04-15,106.7162,Normal value (A)
2011-04-14,106.5769,Normal value (A)
2011-04-13,107.2275,Normal value (A)
2011-04-12,107.2395,Normal value (A)
2011-04-11,107.0333,Normal value (A)
2011-04-10,-,Missing value; data cannot exist (M)
2011-04-09,-,Missing value; data cannot exist (M)
2011-04-08,106.8356,Normal value (A)
2011-04-07,106.3775,Normal value (A)
2011-04-06,106.4357,Normal value (A)
2011-04-05,105.8371,Normal value (A)
2011-04-04,106.3109,Normal value (A)
2011-04-03,-,Missing value; data cannot exist (M)
2011-04-02,-,Missing value; data cannot exist (M)
2011-04-01,105.9393,Normal value (A)
2011-03-31,106.0853,Normal value (A)
2011-03-30,105.5715,Normal value (A)
2011-03-29,105.5784,Normal value (A)
2011-03-28,105.3152,Normal value (A)
2011-03-27,-,Missing value; data cannot exist (M)
2011-03-26,-,Missing value; data cannot exist (M)
2011-03-25,105.5766,Normal value (A)
2011-03-24,105.5195,Normal value (A)
2011-03-23,105.4803,Normal value (A)
2011-03-22,105.7838,Normal value (A)
2011-03-21,105.8597,Normal value (A)
2011-03-20,-,Missing value; data cannot exist (M)
2011-03-19,-,Missing value; data cannot exist (M)
2011-03-18,105.7177,Normal value (A)
2011-03-17,104.9784,Normal value (A)
2011-03-16,104.9219,Normal value (A)
2011-03-15,104.7558,Normal value (A)
2011-03-14,104.8853,Normal value (A)
2011-03-13,-,Missing value; data cannot exist (M)
2011-03-12,-,Missing value; data cannot exist (M)
2011-03-11,104.1162,Normal value (A)
2011-03-10,104.2070,Normal value (A)
2011-03-09,104.5586,Normal value (A)
2011-03-08,104.5220,Normal value (A)
2011-03-07,104.9398,Normal value (A)
2011-03-06,-,Missing value; data cannot exist (M)
2011-03-05,-,Missing value; data cannot exist (M)
2011-03-04,104.7640,Normal value (A)
2011-03-03,103.9699,Normal value (A)
2011-03-02,103.7617,Normal value (A)
2011-03-01,103.8475,Normal value (A)
2011-02-28,103.9412,Normal value (A)
2011-02-27,-,Missing value; data cannot exist (M)
2011-02-26,-,Missing value; data cannot exist (M)
2011-02-25,103.8259,Normal value (A)
2011-02-24,103.8435,Normal value (A)
2011-02-23,103.6340,Normal value (A)
2011-02-22,103.4311,Normal value (A)
2011-02-21,103.2798,Normal value (A)
2011-02-20,-,Missing value; data cannot exist (M)
2011-02-19,-,Missing value; data cannot exist (M)
2011-02-18,103.0045,Normal value (A)
2011-02-17,102.8332,Normal value (A)
2011-02-16,102.7841,Normal value (A)
2011-02-15,102.7758,Normal value (A)
2011-02-14,102.5703,Normal value (A)
2011-02-13,-,Missing value; data cannot exist (M)
2011-02-12,-,Missing value; data cannot exist (M)
2011-02-11,103.1017,Normal value (A)
2011-02-10,103.3701,Normal value (A)
2011-02-09,103.4274,Normal value (A)
2011-02-08,103.1118,Normal value (A)
2011-02-07,102.5947,Normal value (A)
2011-02-06,-,Missing value; data cannot exist (M)
2011-02-05,-,Missing value; data cannot exist (M)
2011-02-04,103.0333,Normal value (A)
2011-02-03,103.6152,Normal value (A)
2011-02-02,103.8196,Normal value (A)
2011-02-01,103.7469,Normal value (A)
2011-01-31,103.8328,Normal value (A)
2011-01-30,-,Missing value; data cannot exist (M)
2011-01-29,-,Missing value; data cannot exist (M)
2011-01-28,103.8605,Normal value (A)
2011-01-27,103.8623,Normal value (A)
2011-01-26,103.6989,Normal value (A)
2011-01-25,103.3870,Normal value (A)
2011-01-24,103.2139,Normal value (A)
2011-01-23,-,Missing value; data cannot exist (M)
2011-01-22,-,Missing value; data cannot exist (M)
2011-01-21,102.9782,Normal value (A)
2011-01-20,102.6775,Normal value (A)
2011-01-19,102.6085,Normal value (A)
2011-01-18,101.8754,Normal value (A)
2011-01-17,101.7485,Normal value (A)
2011-01-16,-,Missing value; data cannot exist (M)
2011-01-15,-,Missing value; data cannot exist (M)
2011-01-14,102.2014,Normal value (A)
2011-01-13,101.3132,Normal value (A)
2011-01-12,100.1700,Normal value (A)
2011-01-11,100.2477,Normal value (A)
2011-01-10,100.1599,Normal value (A)
2011-01-09,-,Missing value; data cannot exist (M)
2011-01-08,-,Missing value; data cannot exist (M)
2011-01-07,100.4524,Normal value (A)
2011-01-06,101.1252,Normal value (A)
2011-01-05,101.7055,Normal value (A)
2011-01-04,102.7358,Normal value (A)
2011-01-03,102.3260,Normal value (A)
2011-01-02,-,Missing value; data cannot exist (M)
2011-01-01,-,Missing value; data cannot exist (M)
2010-12-31,102.4558,Normal value (A)
2010-12-30,102.2297,Normal value (A)
2010-12-29,101.6924,Normal value (A)
2010-12-28,101.9839,Normal value (A)
2010-12-27,101.9068,Normal value (A)
2010-12-26,-,Missing value; data cannot exist (M)
2010-12-25,-,Missing value; data cannot exist (M)
2010-12-24,101.6821,Normal value (A)
2010-12-23,101.5862,Normal value (A)
2010-12-22,101.7934,Normal value (A)
2010-12-21,102.0980,Normal value (A)
2010-12-20,102.1006,Normal value (A)
2010-12-19,-,Missing value; data cannot exist (M)
2010-12-18,-,Missing value; data cannot exist (M)
2010-12-17,102.6218,Normal value (A)
2010-12-16,102.5603,Normal value (A)
2010-12-15,103.0908,Normal value (A)
2010-12-14,103.3364,Normal value (A)
2010-12-13,102.8257,Normal value (A)
2010-12-12,-,Missing value; data cannot exist (M)
2010-12-11,-,Missing value; data cannot exist (M)
2010-12-10,102.5500,Normal value (A)
2010-12-09,102.5241,Normal value (A)
2010-12-08,102.5699,Normal value (A)
2010-12-07,103.0402,Normal value (A)
2010-12-06,102.8363,Normal value (A)
2010-12-05,-,Missing value; data cannot exist (M)
2010-12-04,-,Missing value; data cannot exist (M)
2010-12-03,102.8046,Normal value (A)
2010-12-02,102.5524,Normal value (A)
2010-12-01,102.3407,Normal value (A)
2010-11-30,101.8875,Normal value (A)
2010-11-29,102.6550,Normal value (A)
2010-11-28,-,Missing value; data cannot exist (M)
2010-11-27,-,Missing value; data cannot exist (M)
2010-11-26,103.0547,Normal value (A)
2010-11-25,103.2108,Normal value (A)
2010-11-24,103.2130,Normal value (A)
2010-11-23,104.0298,Normal value (A)
2010-11-22,104.6582,Normal value (A)
2010-11-21,-,Missing value; data cannot exist (M)
2010-11-20,-,Missing value; data cannot exist (M)
2010-11-19,104.8627,Normal value (A)
2010-11-18,104.5463,Normal value (A)
2010-11-17,103.9932,Normal value (A)
2010-11-16,104.3677,Normal value (A)
2010-11-15,104.3749,Normal value (A)
2010-11-14,-,Missing value; data cannot exist (M)
2010-11-13,-,Missing value; data cannot exist (M)
2010-11-12,104.5681,Normal value (A)
2010-11-11,104.3176,Normal value (A)
2010-11-10,104.7338,Normal value (A)
2010-11-09,105.4679,Normal value (A)
2010-11-08,105.5177,Normal value (A)
2010-11-07,-,Missing value; data cannot exist (M)
2010-11-06,-,Missing value; data cannot exist (M)
2010-11-05,106.2640,Normal value (A)
2010-11-04,107.0748,Normal value (A)
2010-11-03,106.2934,Normal value (A)
2010-11-02,106.4004,Normal value (A)
2010-11-01,105.9529,Normal value (A)
2010-10-31,-,Missing value; data cannot exist (M)
2010-10-30,-,Missing value; data cannot exist (M)
2010-10-29,105.7675,Normal value (A)
2010-10-28,105.8289,Normal value (A)
2010-10-27,105.7089,Normal value (A)
2010-10-26,105.9697,Normal value (A)
2010-10-25,106.5724,Normal value (A)
2010-10-24,-,Missing value; data cannot exist (M)
2010-10-23,-,Missing value; data cannot exist (M)
2010-10-22,106.3206,Normal value (A)
2010-10-21,106.5625,Normal value (A)
2010-10-20,105.8130,Normal value (A)
2010-10-19,105.8008,Normal value (A)
2010-10-18,105.6700,Normal value (A)
2010-10-17,-,Missing value; data cannot exist (M)
2010-10-16,-,Missing value; data cannot exist (M)
2010-10-15,106.3216,Normal value (A)
2010-10-14,106.3731,Normal value (A)
2010-10-13,106.0873,Normal value (A)
2010-10-12,105.5206,Normal value (A)
2010-10-11,105.9827,Normal value (A)
2010-10-10,-,Missing value; data cannot exist (M)
2010-10-09,-,Missing value; data cannot exist (M)
2010-10-08,105.8997,Normal value (A)
2010-10-07,106.1689,Normal value (A)
2010-10-06,105.6888,Normal value (A)
2010-10-05,105.3995,Normal value (A)
2010-10-04,104.9800,Normal value (A)
2010-10-03,-,Missing value; data cannot exist (M)
2010-10-02,-,Missing value; data cannot exist (M)
2010-10-01,105.1476,Normal value (A)
2010-09-30,104.7279,Normal value (A)
2010-09-29,104.6273,Normal value (A)
2010-09-28,103.9400,Normal value (A)
2010-09-27,103.8920,Normal value (A)
2010-09-26,-,Missing value; data cannot exist (M)
2010-09-25,-,Missing value; data cannot exist (M)
2010-09-24,103.8036,Normal value (A)
2010-09-23,103.4432,Normal value (A)
2010-09-22,103.6010,Normal value (A)
2010-09-21,102.5435,Normal value (A)
2010-09-20,102.3148,Normal value (A)
2010-09-19,-,Missing value; data cannot exist (M)
2010-09-18,-,Missing value; data cannot exist (M)
2010-09-17,102.3251,Normal value (A)
2010-09-16,102.3692,Normal value (A)
2010-09-15,101.8455,Normal value (A)
2010-09-14,101.0838,Normal value (A)
2010-09-13,100.9730,Normal value (A)
2010-09-12,-,Missing value; data cannot exist (M)
2010-09-11,-,Missing value; data cannot exist (M)
2010-09-10,100.5805,Normal value (A)
2010-09-09,100.5588,Normal value (A)
2010-09-08,100.5597,Normal value (A)
2010-09-07,100.9687,Normal value (A)
2010-09-06,101.6714,Normal value (A)
2010-09-05,-,Missing value; data cannot exist (M)
2010-09-04,-,Missing value; data cannot exist (M)
2010-09-03,101.5423,Normal value (A)
2010-09-02,101.4466,Normal value (A)
2010-09-01,101.4466,Normal value (A)
2010-08-31,101.0108,Normal value (A)
2010-08-30,100.8432,Normal value (A)
2010-08-29,-,Missing value; data cannot exist (M)
2010-08-28,-,Missing value; data cannot exist (M)
2010-08-27,101.0003,Normal value (A)
2010-08-26,100.8749,Normal value (A)
2010-08-25,100.6472,Normal value (A)
2010-08-24,100.7061,Normal value (A)
2010-08-23,100.9066,Normal value (A)
2010-08-22,-,Missing value; data cannot exist (M)
2010-08-21,-,Missing value; data cannot exist (M)
2010-08-20,101.0117,Normal value (A)
2010-08-19,101.4470,Normal value (A)
2010-08-18,101.7788,Normal value (A)
2010-08-17,101.7523,Normal value (A)
2010-08-16,101.7094,Normal value (A)
2010-08-15,-,Missing value; data cannot exist (M)
2010-08-14,-,Missing value; data cannot exist (M)
2010-08-13,101.7586,Normal value (A)
2010-08-12,101.7089,Normal value (A)
2010-08-11,102.7296,Normal value (A)
2010-08-10,103.3841,Normal value (A)
2010-08-09,103.5748,Normal value (A)
2010-08-08,-,Missing value; data cannot exist (M)
2010-08-07,-,Missing value; data cannot exist (M)
2010-08-06,103.3090,Normal value (A)
2010-08-05,103.3649,Normal value (A)
2010-08-04,103.4106,Normal value (A)
2010-08-03,103.4922,Normal value (A)
2010-08-02,102.8214,Normal value (A)
2010-08-01,-,Missing value; data cannot exist (M)
2010-07-31,-,Missing value; data cannot exist (M)
2010-07-30,102.9382,Normal value (A)
2010-07-29,103.2665,Normal value (A)
2010-07-28,103.0541,Normal value (A)
2010-07-27,103.2703,Normal value (A)
2010-07-26,102.7843,Normal value (A)
2010-07-25,-,Missing value; data cannot exist (M)
2010-07-24,-,Missing value; data cannot exist (M)
2010-07-23,102.7430,Normal value (A)
2010-07-22,102.6270,Normal value (A)
2010-07-21,102.4963,Normal value (A)
2010-07-20,103.0329,Normal value (A)
2010-07-19,103.6415,Normal value (A)
2010-07-18,-,Missing value; data cannot exist (M)
2010-07-17,-,Missing value; data cannot exist (M)
2010-07-16,103.4075,Normal value (A)
2010-07-15,102.3910,Normal value (A)
2010-07-14,101.8822,Normal value (A)
2010-07-13,101.2214,Normal value (A)
2010-07-12,101.3679,Normal value (A)
2010-07-11,-,Missing value; data cannot exist (M)
2010-07-10,-,Missing value; data cannot exist (M)
2010-07-09,101.6272,Normal value (A)
2010-07-08,101.8081,Normal value (A)
2010-07-07,101.5504,Normal value (A)
2010-07-06,101.6014,Normal value (A)
2010-07-05,101.4056,Normal value (A)
2010-07-04,-,Missing value; data cannot exist (M)
2010-07-03,-,Missing value; data cannot exist (M)
2010-07-02,101.5133,Normal value (A)
2010-07-01,100.5415,Normal value (A)
2010-06-30,100.1708,Normal value (A)
2010-06-29,99.7666,Normal value (A)
2010-06-28,100.4979,Normal value (A)
2010-06-27,-,Missing value; data cannot exist (M)
2010-06-26,-,Missing value; data cannot exist (M)
2010-06-25,100.5087,Normal value (A)
2010-06-24,100.2241,Normal value (A)
2010-06-23,100.2558,Normal value (A)
2010-06-22,100.4208,Normal value (A)
2010-06-21,100.9089,Normal value (A)
2010-06-20,-,Missing value; data cannot exist (M)
2010-06-19,-,Missing value; data cannot exist (M)
2010-06-18,101.1205,Normal value (A)
2010-06-17,101.1755,Normal value (A)
2010-06-16,100.8849,Normal value (A)
2010-06-15,100.8885,Normal value (A)
2010-06-14,100.7473,Normal value (A)
2010-06-13,-,Missing value; data cannot exist (M)
2010-06-12,-,Missing value; data cannot exist (M)
2010-06-11,100.3053,Normal value (A)
2010-06-10,99.9431,Normal value (A)
2010-06-09,99.8421,Normal value (A)
2010-06-08,99.6700,Normal value (A)
2010-06-07,99.8408,Normal value (A)
2010-06-06,-,Missing value; data cannot exist (M)
2010-06-05,-,Missing value; data cannot exist (M)
2010-06-04,100.2849,Normal value (A)
2010-06-03,101.0420,Normal value (A)
2010-06-02,100.9534,Normal value (A)
2010-06-01,100.6740,Normal value (A)
2010-05-31,101.4800,Normal value (A)
2010-05-30,-,Missing value; data cannot exist (M)
2010-05-29,-,Missing value; data cannot exist (M)
2010-05-28,101.8271,Normal value (A)
2010-05-27,101.2498,Normal value (A)
2010-05-26,101.7530,Normal value (A)
2010-05-25,101.6598,Normal value (A)
2010-05-24,102.2272,Normal value (A)
2010-05-23,-,Missing value; data cannot exist (M)
2010-05-22,-,Missing value; data cannot exist (M)
2010-05-21,103.1696,Normal value (A)
2010-05-20,102.2373,Normal value (A)
2010-05-19,101.3348,Normal value (A)
2010-05-18,101.7155,Normal value (A)
2010-05-17,101.3965,Normal value (A)
2010-05-16,-,Missing value; data cannot exist (M)
2010-05-15,-,Missing value; data cannot exist (M)
2010-05-14,101.8291,Normal value (A)
2010-05-13,102.0283,Normal value (A)
2010-05-12,102.5243,Normal value (A)
2010-05-11,102.9871,Normal value (A)
2010-05-10,104.2545,Normal value (A)
2010-05-09,-,Missing value; data cannot exist (M)
2010-05-08,-,Missing value; data cannot exist (M)
2010-05-07,103.8041,Normal value (A)
2010-05-06,103.0898,Normal value (A)
2010-05-05,104.1029,Normal value (A)
2010-05-04,104.6358,Normal value (A)
2010-05-03,105.1781,Normal value (A)
2010-05-02,-,Missing value; data cannot exist (M)
2010-05-01,-,Missing value; data cannot exist (M)
2010-04-30,105.4788,Normal value (A)
2010-04-29,105.2131,Normal value (A)
2010-04-28,105.3086,Normal value (A)
2010-04-27,105.2727,Normal value (A)
2010-04-26,105.1771,Normal value (A)
2010-04-25,-,Missing value; data cannot exist (M)
2010-04-24,-,Missing value; data cannot exist (M)
2010-04-23,105.2957,Normal value (A)
2010-04-22,105.3135,Normal value (A)
2010-04-21,105.4632,Normal value (A)
2010-04-20,106.1850,Normal value (A)
2010-04-19,106.0793,Normal value (A)
2010-04-18,-,Missing value; data cannot exist (M)
